timestamp,track_id,avail_0,avail_1,avail_2,avail_3,avail_4,avail_5,avail_6,avail_7,avail_8,avail_9,avail_10,avail_11,avail_12,avail_13,avail_14,avail_15,avail_16,avail_17,avail_18,avail_19,avail_20,avail_21,avail_22,avail_23,avail_24,avail_25,avail_26,avail_27,avail_28,avail_29,avail_30,avail_31,avail_32,avail_33,avail_34,avail_35,avail_36,avail_37,avail_38,avail_39,avail_40,avail_41,avail_42,avail_43,avail_44,avail_45,avail_46,avail_47,avail_48,avail_49,coord_x00,coord_y00,coord_x01,coord_y01,coord_x02,coord_y02,coord_x03,coord_y03,coord_x04,coord_y04,coord_x05,coord_y05,coord_x06,coord_y06,coord_x07,coord_y07,coord_x08,coord_y08,coord_x09,coord_y09,coord_x010,coord_y010,coord_x011,coord_y011,coord_x012,coord_y012,coord_x013,coord_y013,coord_x014,coord_y014,coord_x015,coord_y015,coord_x016,coord_y016,coord_x017,coord_y017,coord_x018,coord_y018,coord_x019,coord_y019,coord_x020,coord_y020,coord_x021,coord_y021,coord_x022,coord_y022,coord_x023,coord_y023,coord_x024,coord_y024,coord_x025,coord_y025,coord_x026,coord_y026,coord_x027,coord_y027,coord_x028,coord_y028,coord_x029,coord_y029,coord_x030,coord_y030,coord_x031,coord_y031,coord_x032,coord_y032,coord_x033,coord_y033,coord_x034,coord_y034,coord_x035,coord_y035,coord_x036,coord_y036,coord_x037,coord_y037,coord_x038,coord_y038,coord_x039,coord_y039,coord_x040,coord_y040,coord_x041,coord_y041,coord_x042,coord_y042,coord_x043,coord_y043,coord_x044,coord_y044,coord_x045,coord_y045,coord_x046,coord_y046,coord_x047,coord_y047,coord_x048,coord_y048,coord_x049,coord_y049
1572643694700868226,325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.61359,0.96436,1.22998,1.93359,1.89948,2.87646,2.52612,3.85498,3.20178,4.80859,3.85168,5.77954,4.52167,6.73560,5.18561,7.72534,5.85046,8.69727,6.50159,9.65479,7.15387,10.61816,7.79529,11.66016,8.48309,12.65601,9.13196,13.68994,9.74109,14.72070,10.38879,15.73999,11.05475,16.72461,11.72028,17.71558,12.39478,18.69312,13.06824,19.67383,13.64502,20.63916,14.30341,21.61865,14.92804,22.61816,15.55231,23.63745,16.18201,24.64819,16.81232,25.66064,17.47278,26.68530,18.12176,27.69409,18.76123,28.69800,19.46692,29.67236,20.10998,30.67847,20.78449,31.70239,21.54511,32.58447,22.24811,33.57251,22.93481,34.56958,23.61993,35.55566,24.22351,36.60327,24.85925,37.61890,25.51935,38.63354,26.23529,39.61377,26.86487,40.62671,27.48767,41.67139,28.17798,42.66943,28.80322,43.70264,29.46661,44.72705,29.74731,45.29907,30.15686,45.94458,30.55981,46.53613,30.93225,47.10010,31.52167,48.00732
1572643784600720366,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.00061,0.00305,-0.00037,0.00464,0.00592,0.00342,0.00458,0.00635,0.00568,0.00964,0.00653,0.01282,0.00500,0.01184,0.00690,0.01074,0.00623,0.00916,0.00476,0.00830,0.00458,0.00745,0.00201,0.00549,0.00043,0.00293,0.00153,0.00439,0.00201,0.00293,0.00446,0.00574,0.00317,0.00427,0.00464,0.00415,0.00281,0.00220,0.00238,0.00037,0.00098,-0.00232,0.00287,-0.00012,0.00446,0.00305,0.00842,0.00720,0.00940,0.00903,-0.12457,0.08899,-0.07544,0.06421,-0.04480,0.04553,-0.02557,0.03381,-0.03021,0.03137,-0.03046,0.02759,-0.02863,0.03064,-0.02551,0.03455,-0.02185,0.03748,-0.01904,0.03796,-0.01666,0.03809,-0.01910,0.04041,-0.02368,0.03650,-0.02740,0.02954,-0.02423,0.03259,-0.02502,0.03784,-0.00513,0.02136,-0.00214,0.01709,-0.00195,0.01587,-0.00122,0.01306,-0.00195,0.00952,-0.00128,0.00818,0.00067,0.00793,0.00238,0.01013,0.00574,0.01306
1572643809601057226,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.00140,-0.00061,-0.00232,0.00134,-0.00220,0.00427,-0.00092,0.00684,-0.00024,0.00415,-0.00293,0.00293,-0.00897,-0.00525,-0.00702,-0.00537,-0.01221,-0.01465,-0.01093,-0.01318,-0.00739,-0.00830,-0.00854,-0.00623,-0.00854,-0.00696,-0.00494,-0.00317,-0.00458,-0.00037,-0.00604,-0.00085,-0.00464,0.00098,-0.00427,-0.00012,-0.00543,-0.00085,-0.00323,0.00195,-0.00098,0.00354,0.00256,0.00696,0.00226,0.00427,0.00323,0.00500,0.00195,0.00305,0.00220,0.00159,0.00079,0.00037,0.00116,0.00110,-0.00085,-0.00085,-0.00049,0.00037,-0.00140,0.00208,-0.00055,0.00439,0.00110,0.00806,-0.00012,0.00806,-0.00128,0.00854,-0.00073,0.00854,-0.00610,-0.00024,-0.00616,-0.00183,-0.00745,-0.00232,-0.00690,-0.00330,-0.00397,-0.00232,-0.00153,-0.00085,0.00073,0.00220,-0.00055,0.00220,-0.00226,0.00281,-0.00256,0.00000,-0.00330,-0.00281,-0.00201,-0.00244,-0.01562,0.00977,-0.01166,0.00452
1572643834600749366,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00299,0.00378,0.00604,0.01160,0.00763,0.01147,0.01013,0.01257,0.01074,0.01343,0.01123,0.01355,0.01257,0.01465,0.01288,0.01453,0.01312,0.01367,0.01318,0.01416,0.01538,0.01685,0.01385,0.01733,0.01373,0.01794,0.01428,0.01758,0.01624,0.02039,0.01526,0.01917,0.01434,0.01904,0.01440,0.01587,0.01520,0.01868,0.01581,0.01880,0.01758,0.02100,0.01697,0.02124,0.01642,0.02063,0.01410,0.01855,0.01495,0.01648,0.01483,0.01721,0.01562,0.01868,0.01709,0.02002,0.01508,0.01990,0.01324,0.02161,0.01312,0.02014,-0.13519,0.10706,-0.11212,0.09131,-0.09088,0.07275,-0.12854,0.09399,-0.19324,0.13403,-0.25531,0.16223,-0.23517,0.14929,-0.15009,0.09814,-0.09308,0.06787,-0.05762,0.04626,-0.03497,0.03076,-0.01733,0.02466,-0.00757,0.02026,0.00092,0.01929,0.00897,0.01526,0.01373,0.01355,0.01013,0.01160,0.01324,0.01526,0.01270,0.01355
1572643859600955226,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00226,-0.00574,0.00275,-0.01257,0.00482,-0.01172,0.00732,-0.00989,0.00916,-0.00818,0.01111,-0.00427,0.01025,-0.00488,0.00928,-0.00757,0.01135,-0.00659,0.01324,-0.00354,0.01337,-0.00146,0.01282,-0.00366,0.01160,-0.00562,0.01196,-0.00635,0.01019,-0.01013,0.01160,-0.00891,0.00470,-0.01538,0.00586,-0.01379,0.00079,-0.02063,-0.00342,-0.02832,-0.00140,-0.02625,-0.00085,-0.02490,-0.00012,-0.02185,0.00012,-0.01917,0.00220,-0.01721,0.00452,-0.01501,0.00781,-0.01367,0.00983,-0.00952,-0.09473,0.05139,-0.08954,0.05371,-0.08337,0.05493,-0.04590,0.03699,-0.02295,0.02283,-0.01221,0.01318,-0.00403,0.00842,0.00311,0.00623,0.01306,0.01318,0.01843,0.01819,0.02173,0.01807,0.02576,0.02356,0.02386,0.01758,0.01764,0.01086,0.01489,0.00671,0.01257,0.00464,0.01245,0.00159,0.00983,-0.00525,0.01526,0.00098,0.01855,0.00562,0.01990,0.00684,0.01270,-0.00391
1572643859600955226,70,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.53552,0.41052,-1.05768,0.80042,-1.53424,1.18665,-1.98413,1.55969,-2.38531,1.91797,-2.76141,2.26599,-3.07782,2.59082,-3.36310,2.88977,-3.60809,3.18799,-3.82446,3.45129,-3.99597,3.68530,-4.16150,3.89355,-4.27887,4.07983,-4.34918,4.24060,-4.38696,4.39441,-4.39453,4.51294,-4.39349,4.59595,-4.39984,4.64124,-4.37195,4.65112,-4.32306,4.65271,-3.66614,3.97852,-3.55292,3.87158,-3.48627,3.83484,-3.64594,4.01440,-3.74518,4.11682,-3.64539,4.00476,-3.57776,3.96936,-3.57526,3.97400,-3.59845,3.96558,-3.71234,4.10364,-3.82715,4.30237,-4.11554,4.78088,-4.22931,4.93408,-4.48114,5.32520,-4.76172,5.73291,-5.00134,6.10022,-5.18304,6.44543,-5.42682,6.95105,-5.68439,7.38074,-5.91016,7.83765,-6.07898,8.22241,-6.24939,8.60291,-6.49310,9.23206,-6.75684,10.07727,-6.97736,10.84900,-7.20367,11.30554,-7.43109,11.76294,-7.65680,12.22205,-7.88562,12.67944,-8.11066,13.13953
1572643884600683226,53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.00006,0.02185,0.00470,0.04749,-0.00909,0.07312,-0.02435,0.09314,-0.02179,0.12952,-0.01868,0.14526,-0.03333,0.17737,-0.07599,0.22131,-0.10327,0.22998,-0.13727,0.25684,-0.17639,0.33691,-0.19794,0.39771,-0.25946,0.43005,-0.30463,0.45361,-0.34344,0.45862,-0.36212,0.44775,-0.37646,0.44348,-0.39941,0.44287,-0.41931,0.44873,-0.41766,0.43298,-0.41199,0.41443,-0.40375,0.41504,-0.39594,0.41614,-0.38177,0.41199,-0.45099,0.45251,-0.42407,0.44946,-0.39868,0.44031,-0.38745,0.43689,-0.35687,0.46289,-0.40167,0.47937,-0.38275,0.47583,-0.35907,0.48340,-0.32892,0.49756,-0.37134,0.55359,-0.35937,0.55615,-0.36163,0.55750,-0.35168,0.56396,-0.34302,0.57397,-0.31067,0.58813,-0.29779,0.59387,-0.87445,1.00488,-1.00195,1.13171,-1.16193,1.22693,-0.95380,1.07837,-1.07947,1.18738,-1.04059,1.21106,-1.18481,1.44812,-1.15851,1.33728,-1.28174,1.52478,-1.40729,1.63013
1572643884600683226,69,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.03851,0.00623,-0.05530,0.02393,-0.07886,0.05444,-0.09253,0.05029,-0.09753,0.04346,-0.08527,0.04370,-0.07397,0.03821,-0.06287,0.03894,-0.04059,0.01599,-0.03442,0.01868,-0.02173,0.01489,-0.00323,0.01343,0.00293,0.01782,0.02808,0.02466,0.03406,0.01648,0.04547,0.00989,0.06403,0.01526,0.09082,0.02515,0.06274,0.04456,0.07642,0.04956,0.10809,0.07458,0.12012,0.07910,0.13110,0.07080,0.14996,0.06860,0.16333,0.08777,0.17194,0.10767,-0.77527,0.57764,-0.92212,0.85596,-0.39111,0.59387,-0.53632,0.85449,-0.68817,0.77686,-0.82544,0.95142,-0.92297,1.16736,-0.94482,0.99219,-0.88263,1.04871,-1.00122,1.16858,-1.06635,1.20166,-1.14948,1.27661,-1.15869,1.26770,-0.69751,1.00586,-0.73450,0.95276,-0.75189,0.95703,-0.26227,0.74597,-0.26251,0.73621,-0.26215,0.73291,-0.26471,0.72412,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1572643884600683226,79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.02271,0.03027,-0.02460,0.05139,-0.08191,0.10205,-0.14624,0.12988,-0.17487,0.15149,-0.21960,0.17407,-0.25543,0.18896,-0.28967,0.21021,-0.29907,0.21228,-0.31049,0.22485,-0.30865,0.23572,-0.33472,0.25598,-0.33832,0.27490,-0.34308,0.29285,-0.35339,0.30444,-0.36053,0.29187,-0.33722,0.28809,-0.34973,0.28540,-0.41272,0.33264,-0.39093,0.32629,-0.42401,0.37109,-0.42316,0.37524,-0.40070,0.37122,-0.37421,0.38477,-0.37103,0.38367,-0.36420,0.38745,-0.34698,0.39587,-0.34674,0.38403,-0.35443,0.39563,-0.36005,0.38733,-0.35516,0.41211,-0.36157,0.41760,-0.33099,0.44214,-0.34778,0.65515,-0.48523,0.78479,-0.76801,0.85925,-0.65527,0.84607,-0.89276,0.88293,-1.07117,1.15417,-0.81915,1.01550,-0.82111,0.96350,-0.98462,0.95703,-0.93677,0.91882,-1.18378,1.19202,-1.15900,1.18286,-1.32153,1.38110,-0.97302,1.14124,-0.76080,0.93433,-0.83862,1.06860,-0.84033,1.09814
1572643884600683226,98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.00037,0.00134,0.00250,0.02112,-0.01068,0.05774,-0.01978,0.06519,-0.02911,0.07300,-0.02582,0.06384,-0.02930,0.07178,-0.04480,0.08655,-0.05090,0.09802,-0.06689,0.13000,-0.08014,0.15637,-0.08514,0.17639,-0.07709,0.17712,-0.07080,0.17139,-0.10620,0.18579,-0.20129,0.21423,-0.19098,0.23682,-0.19727,0.24854,-0.26709,0.28174,-0.36591,0.27869,-0.41870,0.36182,-0.46466,0.42920,-0.49304,0.45508,-0.51434,0.46863,-0.52936,0.46851,-0.55359,0.48828,-0.55884,0.49890,-0.57404,0.48218,-0.57385,0.50159,-0.57111,0.49097,-0.57397,0.49731,-0.56360,0.49402,-0.57715,0.52014,-0.58685,0.52332,-0.56519,0.50781,-0.55969,0.49841,-0.56580,0.50281,-0.54602,0.52209,-0.64148,0.58313,-0.66833,0.58887,-0.69147,0.60156,-0.79260,0.66125,-0.98676,0.78931,-0.97607,0.78906,-1.22955,0.93335,-1.17590,0.86279,-1.09662,0.84326,-1.29340,0.99829,-1.16016,0.91833,-1.34198,0.97229
